b0119	yacL	b3987	rpoB	1.0
b0119	yacL	b3988	rpoC	1.0
b0119	yacL	b4172	hfq	0.76
b0120	speD	b0121	speE	0.408408
b0124	gcd	b0125	hpt	0.408408
b0125	hpt	b0188	tilS	0.286036
b0126	yadF	b3339	tuf	0.8
b0126	yadF	b3980	tuf	0.73
b0127	yadG	b0015	dnaJ	0.92
b0127	yadG	b0023	rpsT	1.0
b0127	yadG	b0169	rpsB	0.95
b0127	yadG	b1716	rplT	0.97
b0127	yadG	b1905	ftn	0.79
b0127	yadG	b2606	rplS	1.0
b0127	yadG	b2609	rpsP	0.78
b0127	yadG	b3065	rpsU	0.92
b0127	yadG	b3165	rpsO	0.91
b0127	yadG	b3186	rplU	0.98
b0127	yadG	b3230	rpsI	0.97
b0127	yadG	b3231	rplM	0.96
b0127	yadG	b3294	rplQ	0.71
b0127	yadG	b3296	rpsD	1.0
b0127	yadG	b3297	rpsK	0.82
b0127	yadG	b3298	rpsM	0.92
b0127	yadG	b3301	rplO	0.99
b0127	yadG	b3303	rpsE	1.0
b0127	yadG	b3304	rplR	0.82
b0127	yadG	b3306	rpsH	0.99
b0127	yadG	b3307	rpsN	0.91
b0127	yadG	b3308	rplE	0.93
b0127	yadG	b3309	rplX	0.99
b0127	yadG	b3313	rplP	0.94
b0127	yadG	b3314	rpsC	1.0
b0127	yadG	b3315	rplV	1.0
b0127	yadG	b3317	rplB	1.0
b0127	yadG	b3318	rplW	0.98
b0127	yadG	b3319	rplD	0.92
b0127	yadG	b3320	rplC	1.0
b0127	yadG	b3321	rpsJ	0.88
b0127	yadG	b3341	rpsG	1.0
b0127	yadG	b3619	rfaD	1.0
b0127	yadG	b3637	rpmB	0.98
b0127	yadG	b3984	rplA	0.96
b0127	yadG	b4143	groEL	0.98
b0127	yadG	b4200	rpsF	1.0
b0127	yadG	b4202	rpsR	1.0
b0127	yadG	b4203	rplI	0.92
b0131	panD	b0133	panC	0.442192
b0131	panD	b0134	panB	0.408408
b0131	panD	b0143	pcnB	0.408408
b0133	panC	b0014	dnaK	0.86
b0133	panC	b0134	panB	0.619369
b0133	panC	b0480	ushA	1.0
b0139	htrE	b0140	ecpD	0.540541
b0139	htrE	b0531	sfmC	0.352102
b0139	htrE	b0717	ybgP	0.352102
b0139	htrE	b0939	ycbR	0.352102
b0139	htrE	b2110	yehC	0.352102
b0139	htrE	b2336	yfcS	0.352102
b0139	htrE	b3047	yqiH	0.352102
b0139	htrE	b4316	fimC	0.352102
b0140	ecpD	b0532	sfmD	0.352102
b0140	ecpD	b0940	ycbS	0.352102
b0140	ecpD	b2109	yehB	0.352102
b0140	ecpD	b3216	yhcD	0.352102
b0140	ecpD	b4317	fimD	0.352102
b0142	folK	b3177	folP	0.408408
b0143	pcnB	b3164	pnp	0.34985
b0143	pcnB	b4172	hfq	0.271021
b0144	yadB	b0115	aceF	0.72
b0144	yadB	b0116	lpdA	0.85
b0144	yadB	b0145	dksA	0.408408
b0144	yadB	b3986	rplL	0.71
b0145	dksA	b0149	mrcB	0.408408
b0148	hrpB	b0116	lpdA	0.89
b0148	hrpB	b1413	hrpA	0.320571
